reportDate,accountsPayable,capitalSurplus,commonStock,currentAssets,currentCash,currentLongTermDebt,goodwill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,propertyPlantEquipment,receivables,retainedEarnings,shareholderEquity,shortTermInvestments,totalAssets,totalCurrentLiabilities,totalLiabilities,treasuryStock,symbol
2019-03-31,30443000000.0,,42801000000.0,123346000000.0,38329000000.0,10505000000,0,,4884000000.0,90201000000.0,146807000000.0,0.0,105860000000.0,33099000000.0,11751000000.0,40900000000,6279000000,38746000000.0,15085000000.0,64558000000.0,105860000000.0,42104000000.0,341998000000.0,93772000000.0,236138000000.0,,AAPL
2019-03-31,10207000000.0,63624000000,4009000000.0,22312000000.0,2738000000.0,,46753000000,25836000000,5358000000.0,21359000000.0,165000000.0,31000000.0,-69608000000.0,5614000000.0,1933000000.0,9252000000,9441000000,20993000000.0,5198000000.0,102103000000.0,55072000000.0,7085000000.0,121673000000.0,28370000000.0,66121000000.0,99484000000,PG
2019-06-30,12537000000.0,16833000000,1760000000.0,24360000000.0,6731000000.0,2749000000,16840000000,10075000000,3453000000.0,30367000000.0,22468000000.0,21000000.0,1341000000.0,2110000000.0,2658000000.0,,7265000000,11584000000.0,4888000000.0,64602000000.0,18181000000.0,6630000000.0,89996000000.0,29382000000.0,69701000000.0,52033000000,KO
2019-03-31,23905533721.8232,4401337127.88544,3587206938.60957,170567258436.10202,32296191895.920902,38435741066.9919,0,,23999602475.4935,95324072819.2619,97516817997.0186,228020448.674763,179303654515.065,6991877850.0,7281600939.603379,51142639020.643906,5561720200,96539675656.14131,81497086326.0604,198649455662.466,179303654515.065,20359687401.1835,469232045896.011,164673966662.14902,283432615078.827,23552649410.4892,TM
2019-06-30,16055000000.0,3796000000,23000000.0,17212000000.0,3443000000.0,,15632000000,15581000000,3988000000.0,28783000000.0,2510000000.0,8000000.0,-34490000000.0,853000000.0,988000000.0,,8678000000,18915000000.0,8502000000.0,60752000000.0,13952000000.0,291000000.0,75084000000.0,19928000000.0,61047000000.0,35635000000,PEP
2019-05-31,2612000000.0,7163000000,3000000.0,16525000000.0,4466000000.0,6000000,154000000,283000000,5622000000.0,3464000000.0,11000000.0,0.0,8429000000.0,2000000000.0,1968000000.0,5010000000,3274000000,4744000000.0,4272000000.0,1643000000.0,9040000000.0,197000000.0,23717000000.0,7866000000.0,14677000000.0,,NKE
2019-06-30,1708000000.0,1948000000,,17163000000.0,4031000000.0,4762000000,5828000000,2130000000,8255000000.0,25382000000.0,4665000000.0,117000000.0,-25596000000.0,1468000000.0,803000000.0,10529000000,2166000000,7627000000.0,3506000000.0,31128000000.0,-11199000000.0,,39923000000.0,18046000000.0,49332000000.0,35224000000,PM
2019-03-31,205000000.0,5943000000,935000000,6262000000.0,3420000000.0,2144000000,5196000000,12327000000,2356000000.0,27024000000.0,32050000000.0,1000000.0,8883000000.0,1476000000.0,325000000.0,7770000000,357000000,1922000000.0,158000000.0,43582000000.0,14079000000.0,,59233000000.0,10119000000.0,45114000000.0,33664000000,MO
2019-03-31,5566000000.0,31933000000,,8539000000.0,1542000000.0,2936000000,20686000000,17958000000,2620000000.0,12944000000.0,7004000000.0,6000000.0,-35074000000.0,549000000.0,841000000.0,4975000000,2518000000,9156000000.0,2781000000.0,24954000000.0,25828000000.0,,64162000000.0,17721000000.0,38253000000.0,20561000000,MDLZ
2019-03-31,1068000000.0,4331000000,6000000,7160000000.0,2902000000.0,18000000,1865000000,1215000000,1814000000.0,2883000000.0,173000000.0,2000000.0,-928000000.0,627000000.0,408000000.0,2419000000,1200000000,1891000000.0,2036000000.0,9984000000.0,4588000000.0,,12931000000.0,4231000000.0,8314000000.0,9235000000,EL
2019-06-30,1209000000.0,2338000000,1466000000,4255000000.0,863000000.0,1000000,2536000000,1609000000,1322000000.0,7170000000.0,,32000000.0,-2883000000.0,243000000.0,414000000.0,2122000000,1906000000,4341000000.0,1590000000.0,21653000000.0,-347000000.0,66000000,13151000000.0,3782000000.0,13161000000.0,21682000000,CL
