,EBITDA,avg10Volume,avg30Volume,beta,companyName,currentDebt,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debtToEquity,dividendYield,employees,enterpriseValue,enterpriseValueToRevenue,exDividendDate,float,forwardPERatio,grossProfit,marketcap,maxChangePercent,month1ChangePercent,month3ChangePercent,month6ChangePercent,nextDividendDate,nextEarningsDate,peHigh,peLow,peRatio,pegRatio,priceToBook,priceToSales,profitMargin,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,totalCash,totalRevenue,ttmDividendRate,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
0,626000000,47673482.9,54797529.1,2.270566705700011,"Advanced Micro Devices, Inc.",136000000.0,25.0,0.120553,30.74,0.035616,0.99,,10100,36885032000.0,5.7,,998925740.8,53.16,2447000000.0,36796032000,3.297806,0.106701,0.228602,0.685828,,2019-07-30,85.02439024390243,39.09756097560975,123.57,-2.72,29.06479620853081,5.68,0.05204633204633204,6475000000.0,641089.11,5.99,1081600000.0,1161000000.0,6475000000.0,,0.2753,0.796199,34.86,16.03,0.796199,1.731076,5.906801,0.806691
0,80342000000,17458629.9,20561857.1,1.5159482431686244,"Apple, Inc.",20748000000.0,186.81,0.077825,194.84,0.002509,1.07,0.014056031577933954,132000,1004010359200.0,3.78,2019-05-10,4594528062.08,18.19,101983000000.0,955828359200,205.130117,0.040052,0.015297,0.329111,,2019-07-30,19.635828427249788,11.942809083263246,17.33,-1.75,8.920719751369614,3.6,0.22396156638789508,265809000000.0,2013704.55,57.77,4601080000.0,66301000000.0,265809000000.0,2.92,11.99,0.087758,233.47,142.0,0.087758,0.362525,1.463761,0.315476
0,17616000000,6934213.0,7102647.43,0.4247960074329707,Procter & Gamble Co.,10423000000.0,99.77,0.031745,110.42,-0.004944,0.6,0.025004793863854263,92000,307216700900.0,4.6,2019-07-18,2506268152.74,25.67,33383000000.0,287780700900,1.361037,0.04509,0.094961,0.226796,,2019-07-30,26.663615560640732,17.961098398169334,26.62,4.44,5.503235631920143,4.31,0.1458881972707685,66832000000.0,726434.78,26.64,2508330000.0,11850000000.0,66832000000.0,2.8688,4.31,0.423802,116.52,78.49,0.423802,0.221028,0.287368,0.256902
0,10718000000,13527527.8,11847237.17,0.3775723789698756,The Coca-Cola Co.,18191000000.0,48.37,0.05574,51.17,0.057595,2.56,0.029167435850101533,62600,258686178699.99997,8.16,2019-09-13,4243848598.22,25.67,19939000000.0,231632545100,1.400099,0.060493,0.118753,0.148399,2019-09-13,2019-10-25,25.85849056603774,20.872641509433965,32.96,10.05,13.640689305694599,7.29,0.20298450957503864,31697000000.0,506341.85,7.41,4276029999.9999995,15964000000.0,31697000000.0,1.58,1.6436,0.172257,54.82,44.25,0.172257,0.104352,0.184796,0.154272
0,38256671670,188394.5,135849.03,0.6301979165830272,Toyota Motor Corp.,86725690021.2314,121.17,0.060777,124.44,0.006177,1.02,0.02653789314134142,370870,503134562559.6388,1.85,2019-03-29,,,48933253270.396805,,1.69044,0.066952,0.065746,0.077319,,2019-08-02,11.618486840566028,9.523096981070275,11.22,-4.35,1.0422003947076508,1.37,0.06229637752073324,272550861570.75082,734895.95,192.45,,52655879297.1044,272550861570.75082,3.501675,11.7597,-0.018667,135.57,111.12,-0.018667,0.116072,0.127946,0.134761
0,12799000000,4106728.9,4465497.73,0.41475337014941366,"PepsiCo, Inc.",4026000000.0,119.97,-0.011376,131.65,0.007215,2.23,0.028482700807803688,267000,204798867400.0,3.17,2019-09-05,1392128507.4299998,23.77,35275000000.0,183467867400,2.183342,-0.003569,0.035757,0.205845,2019-09-05,2019-10-10,24.19320214669052,18.699463327370303,14.44,-3.32,12.637268728474998,2.84,0.1935508815341788,64660000000.0,242172.28,46.25,1398170000,10990000000.0,64660000000.0,3.7375,9.085,0.148232,135.24,104.53,0.148232,0.124095,0.466244,0.200769
0,5429000000,5235751.3,6224554.4,1.1189604891661882,"NIKE, Inc.",15000000.0,81.08,0.049137,84.4,0.018262,0.38,0.009824080420379255,76700,135978924400.0,3.48,2019-05-31,1234032261.74,,17426000000.0,137162924400,12.16063,0.046378,-0.008158,0.08989,,2019-09-23,36.14457831325301,26.71887550200803,34.2,-3.37,12.122546946902656,3.51,0.10298553243699198,39122000000.0,510065.19,31.25,1251860000,4663000000.0,39122000000.0,0.86,2.5599,0.13851000000000002,90.0,66.53,0.13851,0.539042,1.3156,0.182015
0,12363000000,5379147.5,5530367.53,0.4571780501872882,"Philip Morris International, Inc.",4784000000.0,82.25,0.113731,80.95,-0.011156,-2.55,0.05303558967201674,77400,158937123200.0,5.37,2019-06-20,1552205557.76,16.57,18767000000.0,133771123200,0.723426,0.103439,0.012721,0.156422,,2019-10-17,17.698473282442745,12.341603053435115,17.1,4.82,-10.736906910666988,4.52,0.2666599115074138,29607000000.0,382519.38,19.03,1555840000,6593000000.0,29607000000.0,4.56,5.0272,0.005967,92.74,64.67,0.005967,-0.244251,-0.007925,0.277373
0,13893000000,5763154.0,7429856.7,0.5033593271220441,"Altria Group, Inc.",13848000000.0,53.18,-0.019662,50.06,0.003825,1.74,0.06217408744484557,8300,117640071200.0,5.99,2019-06-13,1867939624.44,11.9,16309000000.0,93284071200,0.904982,0.040919,-0.068212,0.100662,,2019-07-30,16.761421319796955,10.761421319796954,15.16,-2.88,6.308519050517346,4.75,0.35435879146074284,19627000000.0,2364698.8,10.49,1870920000,1390000000.0,19627000000.0,3.1,3.29,-0.13885999999999998,66.04,42.4,-0.13886,-0.242964,0.336246,0.011154
0,4687000000,4901357.5,5480315.67,0.48561731775145267,"Mondelez International, Inc.",5840000000.0,47.72,-0.00436,53.98,0.003111,0.72,0.018244845831052726,80000,96222516400.0,3.71,2019-06-27,1437847208,21.92,10033000000.0,78950516400,0.831086,0.012749,0.084702,0.271104,,2019-07-30,22.791836734693877,15.828571428571427,32.27,6.67,3.0795536295198347,3.04,0.10035469195774539,25938000000.0,324225.0,18.01,1440440000,1100000000.0,25938000000.0,1,1.6985,0.277622,55.84,38.78,0.277622,0.15721,0.354331,0.374029
