,accountsPayable,capitalSurplus,commonStock,currentAssets,currentCash,currentLongTermDebt,goodwill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,propertyPlantEquipment,receivables,retainedEarnings,shareholderEquity,shortTermInvestments,symbol,totalAssets,totalCurrentLiabilities,totalLiabilities,treasuryStock
2019-06-30,2570000000,16552000000,,18305000000,9001000000,,15313000000,27272000000,,16694000000,3597000000,0.0,19682000000,3213000000,2819000000,8259000000,2801000000,2549000000,3220000000,13040000000,34995000000,3265000000,V,70249000000.0,10829000000,35254000000.0,
2019-06-30,,88359000000,4105000000,1147674000000,,,47477000000,732000000,,314454000000,244874000000,0.0,215410000000,125183000000,,1599738000000,364104000000,24665000000,,212093000000,262887000000,,JPM,2727379000000.0,1861311000000,2464492000000.0,69428000000
2019-06-30,,,106619000000,733479000000,,,68951000000,0,,238011000000,50328000000,0.0,202457000000,185689000000,,1544809000000,289188000000,10426000000,,147577000000,271408000000,,BAC,2395892000000.0,1767001000000,2124484000000.0,
2019-03-31,508000000,4569000000,,14396000000,6519000000,500000000,2944000000,1025000000,,6126000000,348000000,0.0,-2973000000,2624000000,2513000000,8868000000,1824000000,1305000000,2577000000,28806000000,5168000000,1317000000,MA,23520000000.0,10246000000,18257000000.0,27534000000
2019-06-30,,60625000000,9136000000,370081000000,,,26415000000,0,,241476000000,198747000000,132000000.0,172627000000,89861000000,,1358132000000,78105000000,9435000000,,164551000000,199042000000,,WFC,1923388000000.0,1473476000000,1723351000000.0,54775000000
2019-06-30,69839000000,107657000000,31000000,819870000000,,,22065000000,5026000000,,252189000000,178246000000,10000000.0,175294000000,165386000000,,614691000000,267369000000,,,158321000000,197359000000,,C,1988226000000.0,908105000000,1790116000000.0,51427000000
2019-06-30,25272000000,15010000000,,36435000000,4981000000,,6236000000,699000000,,,,0.0,1554000000,1023000000,902000000,2022000000,2405000000,1720000000,23952000000,7373000000,16139000000,3434000000,PYPL,48391000000.0,29847000000,32252000000.0,6216000000
2019-06-30,,11980000000,167000000,,26869000000,,0,,,57736000000,9005000000,0.0,23092000000,10685000000,,,41358000000,4658000000,,13551000000,23092000000,,AXP,197603000000.0,,174511000000.0,
2019-03-31,,10447900000,4500000,,1099699999.9999998,2097199999.9999998,5538200000,11042800000,,25423200000,,10200000.0,-21827700000,2122500000,,403100000,2680700000,18283500000,,-1226400000,5347000000,18400000,AMT,38926800000.0,,32437500000.0,1206800000
2019-06-30,,8465000000,21000000,16932000000,,,9548000000,3161000000,,41008000000,3819000000,7000000.0,43365000000,40980000000,,353177000000,18962000000,3690000000,,61252000000,52913000000,,USB,481719000000.0,368209000000,428179000000.0,21465000000
2019-06-30,,,,906000000000,,,,,,221000000000,,0.0,91000000000,207000000000,,296000000000,314000000000,,,,91000000000,,GS,945000000000.0,449000000000,854000000000.0,
2019-06-30,,,,,,26621000000,,,,196072000000,,45000000.0,,,,,,,,,,,MS,891959000000.0,26621000000,399286000000.0,
2019-03-31,,21062100000,3600000,,999000000.0000001,,10850300000,22555899999.999996,,4813500000,1100000,-1000000.0,-19273500000.000004,35668500000,,,34912300000,897800000,,5091100000,26157600000,82400000,CME,71614500000.0,,45428000000.0,
2019-06-30,,,,27650000000,,,,,,,,0.0,53802000000,19561000000,,63205000000,41106000000,,,,53802000000,,CB,174516000000.0,63205000000,120714000000.0,
2017-03-31,180368000,9170142000,971000,8027724000,1328912999.9999995,,430463000,142423999.9999999,,1317112000,45490709000,506000.0,34036684999.99999,99683000,176351000,987543000,1301606000,1177723000,940311000,4560905000,35435717000,5582149000,AABA,55368726000.0,1167911000,19901533000.0,908559000
2019-06-30,,,,18362000000,,,9221000000,0,,69025000000,32507000000,12000000.0,36128000000,35820000000,,273260000000,,,,,45349000000,,PNC,405761000000.0,273260000000,342325000000.0,
2019-06-30,,,6335897000,,,,1869860000,433007000.0000003,,11250757000,,341169000.0,4438495000,354253000,,,5448694000,,,,6308355000,,BX,30972213000.0,,16907127000.0,
2019-06-30,,,,,,,,,,7400000000,192900000000,0.0,21300000000,,,,,,,,21300000000,,SCHW,276300000000.0,,7400000000.0,
2019-03-31,,681000000,561000000,,7476000000,814000000,9739000000,1464000000,,13062000000,617000000,11000000.0,-13882000000,3190000000,,211000000,5653000000,2341000000,,14642000000,7909000000,,MMC,30137000000.0,,22442000000.0,3385000000
