,EBITDA,avg10Volume,avg30Volume,beta,companyName,currentDebt,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debtToEquity,dividendYield,employees,enterpriseValue,enterpriseValueToRevenue,exDividendDate,float,forwardPERatio,grossProfit,marketcap,maxChangePercent,month1ChangePercent,month3ChangePercent,month6ChangePercent,nextDividendDate,nextEarningsDate,peHigh,peLow,peRatio,pegRatio,priceToBook,priceToSales,profitMargin,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,totalCash,totalRevenue,ttmDividendRate,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
0,626000000,47673482.9,54797529.1,2.270566705700011,"Advanced Micro Devices, Inc.",136000000,25.0,0.120553,30.74,0.035616,0.99,,10100,36885032000.0,5.7,,998925740.8,53.16,2447000000,36796032000,3.297806,0.106701,0.228602,0.685828,,2019-07-30,85.02439024390243,39.09756097560975,123.57,-2.72,29.06479620853081,5.68,0.05204633204633204,6475000000,641089.11,5.99,1081600000.0,1161000000,6475000000,,0.2753,0.796199,34.86,16.03,0.796199,1.731076,5.906801,0.806691
0,14174000000,5671954.1,6456767.37,1.2303387102412249,"Visa, Inc.",,151.65,0.082695,171.88,0.017279,0.49,0.005226196308998857,17000,325069353100.0,15.77,2019-08-15,1737783140.94,34.02,16140000000,321639353100,46.277495,0.072768,0.119037,0.350761,2019-08-15,2019-10-31,35.45086705202312,23.429672447013484,35.24,2.46,9.393491533846968,15.61,0.48241059731185404,20609000000,1212294.12,11.85,1738990000.0,13200000000,20609000000,0.96,5.2123,0.30545100000000003,183.99,121.6,0.305451,0.765448,2.110302,0.381959
0,,11757936.5,11982409.27,0.8930040819191395,JPMorgan Chase & Co.,290948000000,107.14,0.058277,111.35,0.017065,2.16,0.027533987265530892,256105,930882193400.0,,2019-10-03,3215896683.6200004,11.45,,377014193400,3.749897,0.067806,0.000861,0.118791,2019-10-03,2019-10-15,12.179775280898877,9.306435137895813,11.83,0.51,1.4697549593591017,,,,0.0,,3243970000.0,,,3.2,9.8226,0.001638,119.24,91.11,0.001638,0.321355,1.129325,0.170275
0,,51936755.6,47221851.0,1.0522158896491023,Bank of America Corp.,245152000000,28.16,0.097361,28.59,0.040582,1.65,0.019499512512187196,204000,723988802000.0,,2019-06-06,9311152808.4,10.83,,287471802000,-0.103824,0.090748,0.0,0.038475,0000-00-00,2019-10-16,11.396428571428572,8.092857142857143,10.85,0.62,1.083470468293602,,,,0.0,,9342600000.0,,,0.6,2.8365,-0.009337,31.91,22.66,-0.009337,0.271703,1.058784,0.232772
0,8816000000,2736341.4,2964034.37,1.4344150400776094,"Mastercard, Inc.",500000000,226.68,0.084468,264.72,0.012419,1.17,0.004112454355301875,14800,285514373567.58,,2019-07-08,896620358.76,37.02,,288111373568,53.052174,0.080314,0.141383,0.409223,,2019-07-30,41.69719350073855,25.389955686853764,46.84,2.51,52.79911217794254,,,,0.0,,1009860000.0,8931000000,,1.16,6.0215,0.389918,282.29,171.89,0.389918,1.132236,2.365913,0.486613
0,,23533478.8,19449099.83,0.7549775596955688,Wells Fargo & Co.,152334000000,48.76,0.081377,46.3,0.060671,1.71,0.03569979716024341,258700,552717280000.0,,2019-08-08,4412471185.2,10.34,,217886280000,1.092009,0.065025,0.021338,-0.010438,2019-08-08,2019-10-15,12.297520661157026,8.888429752066116,10.11,0.31,1.1107239786711254,,,,0.0,,4419600000.0,,,1.76,4.8784,-0.159134,59.52,43.02,-0.159134,-0.120094,-0.019437,0.050277
0,,13532828.3,12731803.23,1.187224922079683,"Citigroup, Inc.",248704000000,64.58,0.069354,68.11,0.014766,2.25,0.02494456762749446,204000,605129656000.0,,2019-08-02,2254053170.6000004,9.47,,163016656000,-0.802219,0.058841,0.015909,0.130149,2019-08-02,2019-10-15,10.46453407510431,6.734353268428373,10.01,0.51,0.8307851187442666,,,,0.0,,2259100000.0,,,1.8,7.2079,0.006555999999999999,75.24,48.42,0.006556,0.163802,0.507709,0.348029
0,3309000000,6878896.7,5767346.8,1.4973128030873089,"PayPal Holdings, Inc.",1998000000,98.73,-0.005853,115.26,-0.026961,0.13,,21800,128782618300.0,8.32,,1116517452.93,36.66,7670000000,135893618300,2.019613,0.016011,0.027126,0.251246,,2019-10-19,41.74570446735395,25.65635738831615,53.97,1.12,8.832290283374496,8.78,0.13287255345261934,15481000000,710137.61,13.16,1176670000.0,9109000000,15481000000,,2.14,0.35139200000000004,121.48,74.66,0.351392,1.254423,2.019613,0.346822
0,15119000000,3810929.2,3286944.53,1.0324421748414045,American Express Co.,14415000000,110.81,0.03918,123.01,0.00619,2.76,0.012304779933743492,59000,139264069720.0,3.22,2019-07-03,827294494.9679999,15.89,29238000000,105186069720,2.549673,0.022914,0.085817,0.263001,,2019-10-18,16.0272614622057,11.034696406443617,15.67,1.25,4.718980247644684,2.43,0.1586645101663586,43280000000,733559.32,52.17,829674000.0,27445000000,43280000000,1.56,8.0917,0.220799,129.34,89.05,0.220799,0.526868,0.356445,0.325042
0,4525600000,1434509.7,1725811.53,0.3488366308351278,American Tower Corp.,2754800000,181.47,-0.031435,207.95,-0.010208,3.97,0.01612982061684344,5026,110288485570.0,14.82,2019-06-18,440461774.764,56.21,3151500000,90433485570,33.878403,-0.006121,0.063137,0.217435,,2019-07-31,72.20792079207921,46.33333333333333,67.08,1.63,16.947487035475348,12.15,0.16618056208921922,7440100000,1480322.32,16.83,442023000.0,1304900000,7440100000,3.3,3.05,0.417025,218.79,140.39,0.417025,0.49127,1.175212,0.305283
