,accountsPayable,capitalSurplus,commonStock,currentAssets,currentCash,currentLongTermDebt,goodwill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,propertyPlantEquipment,receivables,retainedEarnings,shareholderEquity,shortTermInvestments,symbol,totalAssets,totalCurrentLiabilities,totalLiabilities,treasuryStock
2019-06-30,,,,9741000000.0,,,,,,34473000000.0,,92000000.0,55854000000.0,114235000000.0,,54528000000.0,66871000000.0,,,,55854000000.0,,UNH,167200000000.0,62328000000.0,109144000000.0,
2019-03-31,4156000000,86635000000,468000000,45290000000.0,1937000000,4471000000,53487000000,34039000000,8029000000,36776000000.0,2859000000,6000000.0,-143987000000.0,3053000000.0,16043000000,13755000000.0,5304000000.0,14747000000,9599000000,93387000000,58806000000.0,9682000000,PFE,155421000000.0,29423000000.0,96263000000.0,110781000000
2019-06-30,4751995248,,935999064,28319971680.0,9990990009,293999706,26532973467,27220972779,6093993906,22115977884.0,11637988362,1003127.0045159999,24892975107.000004,2464997540.0,3638996361,15011984988.0,6842993160.0,12289987710,7972992027,55644944355,51425948574.0,343999656,NVS,116293883706.0,30110969889.0,64789935210.0,66999933
2019-03-31,3018000000,38768000000,1788000000,25351000000.0,8076000000,,18170000000,10999000000,5712000000,23498000000.0,6163000000,-53000000.0,9369000000.0,7069000000.0,3233000000,11295000000.0,10808000000.0,14602000000,7608000000,44065000000,27539000000.0,722000000,MRK,82354000000.0,18543000000.0,54684000000.0,51736000000
2019-04-30,1953000000,26532000000,,21967000000.0,4393000000,838000000,39959000000,20560000000,3753000000,24486000000.0,44000000,10000000.0,-59435000000.0,970000000.0,2144000000,5114000000.0,5097000000.0,4675000000,6222000000,26270000000,50091000000.0,5455000000,MDT,89694000000.0,8472000000.0,39482000000.0,
2019-06-30,,,,11223000000.0,,,25757000000,14863000000,3209000000,16663000000.0,,0.0,2972000000.0,1733000000.0,1597000000,5132000000.0,5069000000.0,4394000000,4129000000,,28729000000.0,,TMO,57970000000.0,7509000000.0,29241000000.0,
2019-06-30,12637000000,7911000000,328000000,15219000000.0,5427999999.999999,1206000000,11668000000,22257000000,3197000000,17869000000.0,1559000000,-22886861.745003,1880000000.0,,210000000,421000000.000001,6975000000.0,8144000000,5319000000,3265000000,13548000000.0,819000000.0000011,AZN,61889000000.0,16034000000.0,46818000000.0,
2019-03-31,1091000000,,31243000000,35151000000.0,7358000000,3705000000,14692000000,7124000000,3016000000,29687000000.0,706000000,0.0,-3860000000.0,1015000000,2063000000,7790000000.0,1092000000.0,5309000000,3771000000,-19895000000,10832000000.0,18943000000,AMGN,63997000000.0,12706000000.0,53165000000.0,
2019-03-31,1168100000,5756600000,607100000,12597500000.0,2036399999.9999998,2354900000,3855900000,6641500000,3055200000,14118400000.0,2111400000,0.0,-1375600000.0,1963000000,2227200000,7221700000.0,4930200000.0,8326500000,4200500000,4879400000,2480300000.0,100700000,LLY,38006800000.0,11236100000.0,35441800000.0,62100000
2019-06-30,17035089499.999998,4017913900,1711781500,23198775600.0,5247342100,,8941990200,25624541800,7584019300,29670455100.0,2259042500,110530827.169977,-4342452400.0,3074843200,1273972700,2220861500.0,8098190100.0,13216989500,8749812500,-3568650800,4599537800.0,106906800,GSK,80984446400.0,32808933299.999996,77208345500.0,307993400
