,EBITDA,avg10Volume,avg30Volume,beta,companyName,currentDebt,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debtToEquity,dividendYield,employees,enterpriseValue,enterpriseValueToRevenue,exDividendDate,float,forwardPERatio,grossProfit,marketcap,maxChangePercent,month1ChangePercent,month3ChangePercent,month6ChangePercent,nextDividendDate,nextEarningsDate,peHigh,peLow,peRatio,pegRatio,priceToBook,priceToSales,profitMargin,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,totalCash,totalRevenue,ttmDividendRate,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
0,626000000,47673482.9,54797529.1,2.270566705700011,"Advanced Micro Devices, Inc.",136000000.0,25.0,0.120553,30.74,0.035616,0.99,,10100,36885032000.0,5.7,,998925740.8,53.16,2447000000,36796032000,3.297806,0.106701,0.228602,0.685828,,2019-07-30,85.02439024390243,39.09756097560975,123.57,-2.72,29.06479620853081,5.68,0.05204633204633204,6475000000,641089.11,5.99,1081600000,1161000000,6475000000,,0.2753,0.796199,34.86,16.03,0.796199,1.731076,5.906801,0.806691
0,28182000000,8271920.7,7376639.83,0.5862017305630537,Johnson & Johnson,2796000000.0,137.06,-0.066814,137.25,0.016247,0.51,0.027920140748106788,135100,357888993800.0,4.39,2019-08-26,2651972165.2200003,15.17,54348000000,347095993800,1.432215,-0.070794,-0.065146,0.013489,2019-08-26,2019-10-15,17.12528735632184,13.908045977011495,,0.0,5.808943529923685,4.26,0.18761498270660093,81534000000,603508.51,30.71,2655060000,19687000000,81534000000,3.65,,-0.006233,148.99,121.0,-0.006233,0.15286,0.408086,0.023327
0,,3855176.4,3920892.37,0.8917934822222058,"UnitedHealth Group, Inc.",1973000000.0,252.8,0.030851,248.45,-0.009322,0.71,0.014944255554676997,300000,276933758420.0,,2019-06-14,943999460.475,17.06,,240379758420,9.539001,0.026792,0.065235,-0.051842,,2019-10-17,20.537803138373754,14.840941512125536,,0.0,4.649871526230269,,,,0.0,,950343000,,,3.78,,-0.01176,287.94,208.07,-0.01176,0.378698,2.086895,0.038811
0,21673000000,17303075.8,20987119.47,0.7110671809344994,Pfizer Inc.,8831000000.0,42.61,0.007717,42.81,0.006305,0.66,0.03249013692271988,92400,262134492900.0,4.89,2019-08-01,5548068080.06,14.81,37639000000,239227492900,0.306052,-0.007829,0.088406,0.090058,2019-08-01,2019-07-30,15.087662337662337,12.35064935064935,21.76,2.09,3.7728877395240277,4.46,0.20789606128954088,53647000000,580595.24,9.66,5551810000,18833000000,53647000000,1.4,1.98,0.121843,46.47,38.07,0.121843,0.245142,0.435217,-0.003699
0,15138547580,2802373.2,1977189.5,0.5432683268556284,Novartis AG,9619956902.4,87.77,0.040996,89.4,-0.009039,0.41,0.01976800085846121,125161,229348876494.46997,4.41,0000-00-00,,18.42,33569608991.444897,,1.254699,0.024742,0.14865,0.088033,0000-00-00,2019-10-22,19.97370298475271,15.548006570106018,18.88,1.08,2.7121365657775947,4.1,0.24298651252408443,52018711571.2534,415614.38,22.74,,15951928535.04,52018711571.2534,1.84218,4.9372,0.116182,96.31,74.97,0.116182,0.062516,-0.062734,0.108613
0,14292000000,8536135.3,11008486.4,0.6619130377079621,"Merck & Co., Inc.",5308000000.0,78.22,-0.016308,82.36,0.002709,0.94,0.025297801792950998,69000,225902935200.00003,5.32,2019-09-13,2572958760.08,17.14,29381000000,209652935200,0.429496,-0.028629,0.060563,0.116703,2019-09-13,2019-07-30,19.305986696230597,13.831485587583149,25.45,1.57,7.851875779933336,4.94,0.14653913207369362,42446000000,615159.42,16.49,2574640000,8864000000,42446000000,2.06,3.2,0.282564,87.07,62.38,0.282564,0.241681,0.423352,0.077259
0,7122000000,5592505.6,5377016.37,1.012441623557619,Abbott Laboratories,207000000.0,75.63,0.067259,82.27,-0.003633,0.64,0.014131054131054132,103000,170286795000.0,5.57,2019-07-12,1750639918.5,27.08,15823000000,154806795000,1.032125,0.048512,0.121119,0.270818,,2019-10-18,29.48837209302326,20.953488372093023,,0.0,5.071641822827939,5.06,0.0769507489044411,30578000000,296873.79,17.33,1764180000,4086000000,30578000000,1.24,,0.34462200000000004,88.76,63.07,0.344622,0.769696,1.043681,0.26259
0,9758000000,3782210.3,4055195.27,0.6722018298561495,Medtronic Plc,838000000.0,92.07,0.051795,96.83,0.01294,0.51,0.019502681618722574,90000,153011958000.0,5.01,2019-07-05,1339366869.08,,19729000000,137535958000,0.973511,0.052011,0.172804,0.186647,,2019-08-20,19.787356321839084,15.64367816091954,29.81,3.53,2.745721946058174,4.5,0.1515528356841313,30557000000,339522.22,22.78,1341160000,9848000000,30557000000,2,3.44,0.156666,103.29,81.66,0.156666,0.082233,0.519724,0.166401
0,6138000000,1555428.6,1437814.43,1.098350497283962,"Thermo Fisher Scientific, Inc.",1271000000.0,257.14,0.006836,284.7,-0.015494,0.69,0.0025068765015145715,70000,131750543009.99998,5.41,2019-09-16,398934649.704,23.46,10988000000,114878543010,14.319055,-0.02233,0.053904,0.207373,2019-09-16,2019-10-23,26.062286689419796,17.776450511945395,32.55,3.09,4.164378416950627,4.72,0.12061745627719846,24358000000,347971.43,60.9,399981000,2118000000,24358000000,0.72,8.825,0.24279499999999998,305.45,208.34,0.242795,0.637185,1.39574,0.308951
0,4607197280,3886059.0,2824348.13,0.4318184468429795,AstraZeneca Plc,1754000000.0,39.38,0.096799,39.98,0.078849,1.53,,64400,127582355200.0,5.79,2019-02-28,,25.01,15829191757.6373,,1.172189,0.061478,0.139602,0.225979,,2019-10-24,22.27109974424552,18.05626598465473,50.55,8.72,9.15538620468399,5.18,0.09755545495699422,22052651736.01211,342432.48,8.41,,5680000000,22052651736.01211,,0.8608,0.13811099999999998,43.54,35.3,0.138111,0.268607,-0.020684,0.151058
