reportDate,accountsPayable,capitalSurplus,commonStock,currentAssets,currentCash,currentLongTermDebt,goodwill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,propertyPlantEquipment,receivables,retainedEarnings,shareholderEquity,shortTermInvestments,totalAssets,totalCurrentLiabilities,totalLiabilities,treasuryStock,symbol
2019-06-30,15267000000.0,6638000000,5061000000.0,95111000000.0,9167000000,,8051000000,3761000000.0,68492000000.0,15725000000.0,1142000000,0.0,-13373000000.0,1791000000,3304000000,72314000000.0,3973000000,13665000000.0,13709000000.0,52819000000,-5322000000.0,439000000,126261000000.0,92189000000.0,131204000000,54932000000,BA
2019-06-30,5602000000.0,6780000000,958000000.0,23768000000.0,8225000000,4017000000,15573000000,3933000000.0,4600000000.0,9111000000.0,425000000,15000000.0,2297000000.0,5715000000,1468000000,6539000000.0,8020000000,5906000000.0,7407000000.0,35741000000,17870000000.0,1718000000,57750000000.0,19894000000.0,39683000000,22156000000,HON
2019-06-30,11109000000.0,,22718000000.0,37058000000.0,6819000000,6202000000,48358000000,25963000000.0,10934000000.0,40168000000.0,37000000,99000000.0,-89704000000.0,9065000000,1276000000,16392000000.0,16651000000,15032000000.0,18029000000.0,60548000000,40754000000.0,,138990000000.0,35422000000.0,95904000000,32549000000,UTX
2019-06-30,2611000000.0,,281000000.0,18100000000.0,1167000000,900000000,10775000000,3351000000.0,3599000000.0,13452000000.0,,0.0,-7925000000.0,4595000000,400000000,11368000000.0,3423000000,7141000000.0,12934000000.0,16408000000,2850000000.0,,47840000000.0,15132000000.0,44944000000,,LMT
2019-06-30,1664100000.0,7482600000,8300000.000000001,11603700000.0,5433600000,153700000,26074500000,11424099999.999998,2055900000.0,10924500000.0,36400000,0.0,6126700000.000001,716800000,547600000,3005000000.0,5176300000,3466500000.0,3481600000.0,25955000000,32201200000.0,,53322000000.0,5008000000.0,21108800000,,DHR
2019-06-30,2130000000.0,,,14051000000.0,2849000000,,,,4300000000.0,14914000000.0,,4000000.0,10142000000.0,1503000000,1389000000,3773000000.0,6648000000,9877000000.0,5374000000.0,,10142000000.0,139000000,38969000000.0,7265000000.0,28827000000,,MMM
2019-03-31,17059000000.0,,702000000,87747000000.0,,,53194000000,17053000000,19419000000.0,95753000000.0,39390000000,59000000.0,-18033000000.0,39231000000,,38200000000.0,22424000000,54281000000.0,26629000000.0,96921000000,35161000000.0,,315082000000.0,71212000000.0,259022000000,83328000000,GE
2019-06-30,7022000000.0,,5822000000,39789000000.0,,6248000000,6211000000,1733000000,12007000000.0,24764000000.0,,-1000000.0,8626000000.0,4667000000,1818000000,9199000000.0,4362000000,13172000000.0,18535000000.0,32981000000,14837000000.0,,79187000000.0,27735000000.0,64309000000,22467000000,CAT
2019-06-30,1962000000.0,,169000000,10026000000.0,1088000000,545000000,18708000000,1206000000,810000000.0,14919000000.0,353000000,0.0,-9494000000.0,1406000000,639000000,5104000000.0,1241000000,7800000000.0,7489000000.0,9120000000,9214000000.0,,39584000000.0,8155000000.0,30370000000,,NOC
2019-06-30,2860000000.0,2959000000,482000000,19557000000.0,702000000,5024000000,19662000000,2457000000,6480000000.0,10319000000.0,,0.0,-31025000000.0,1027000000,1148000000,9890000000.0,2053000000,5371000000.0,11227000000.0,30291000000,12877000000.0,,48074000000.0,18014000000.0,35197000000,17379000000,GD
2019-04-30,9625800000.0,,4559100000,20220800000.0,3483700000.0000005,987000000,3024900000,1475900000,7160900000.0,28255400000.0,234800000,1400000.0,4159800000.0,3253400000,,199500000.0,5733100000,12797000000.0,7519300000.0,28708800000,11919500000.0,545100000,72729600000.0,26289300000.0,60791300000,16738500000,DE
2019-06-30,1368000000.0,,3000000,11526000000.0,2173000000,500000000,14882000000,0,932000000.0,4977000000.0,26000000,-4000000.0,-2678000000.0,1882000000,6814000000,5496000000.0,6699000000,3870000000.0,1607000000.0,20383000000,12204000000.0,,32186000000.0,7871000000.0,19547000000,,RTN
2019-06-30,512000000.0,1270000000,6000000,6289000000.0,,,4503000000,928000000,1256000000.0,7809000000.0,,0.0,-1412000000.0,1234000000,727000000,1623000000.0,1412000000,1717000000.0,2629000000.0,21788000000,3091000000.0,,15187000000.0,2188000000.0,12092000000,18276000000,ITW
2019-06-30,908000000.0,4962000000,6000000,4836000000.0,,116000000,6512000000,547000000,104000000.0,12923000000.0,687000000,1000000.0,-46000000.0,361000000,222000000,1733000000.0,561000000,13043000000.0,2017000000.0,10088000000,6466000000.0,,25986000000.0,2846000000.0,19519000000,8568000000,WM
2019-03-31,1730000000.0,380000000,477000000,7152000000.0,1384000000,,6509000000,2701000000,2073000000.0,3786000000.0,,5000000.0,-9279000000.0,893000000,784000000,2349000000.0,892000000,3615000000.0,2911000000.0,23475000000,8526000000.0,,21071000000.0,6714000000.0,12499000000,14878000000,EMR
2019-03-31,4081012683.748,70000217.56,188000584.304,21807067776.156,1780005532.2400002,45000139.86,10765033457.62,2527007853.9160004,4459013858.572,7050021911.400001,169000525.25199997,18040036.692858,3730011592.839999,5258016340,6188019232.304,12234038023.272,3017009380,4082012686.856,7593023599.044,20411063437.387997,14495045050.46,1787005553.9959998,45602141731.01601,17783055269.564,30500094794,819002545.452,ABB
