,EBITDA,avg10Volume,avg30Volume,beta,companyName,currentDebt,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debtToEquity,dividendYield,employees,enterpriseValue,enterpriseValueToRevenue,exDividendDate,float,forwardPERatio,grossProfit,marketcap,maxChangePercent,month1ChangePercent,month3ChangePercent,month6ChangePercent,nextDividendDate,nextEarningsDate,peHigh,peLow,peRatio,pegRatio,priceToBook,priceToSales,profitMargin,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,totalCash,totalRevenue,ttmDividendRate,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
0,626000000,47673482.9,54797529.1,2.270566705700011,"Advanced Micro Devices, Inc.",136000000.0,25.0,0.120553,30.74,0.035616,0.99,,10100,36885032000.0,5.7,,998925740.8,53.16,2447000000.0,36796032000,3.297806,0.106701,0.228602,0.685828,,2019-07-30,85.02439024390243,39.09756097560975,123.57,-2.72,29.06479620853081,5.68,0.05204633204633204,6475000000.0,641089.11,5.99,1081600000,1161000000.0,6475000000.0,,0.2753,0.796199,34.86,16.03,0.796199,1.731076,5.906801,0.806691
0,13915000000,5507902.3,4785140.57,1.240536862661667,The Boeing Co.,3190000000.0,363.65,-0.006222,357.64,-0.076107,40.85,0.02182608695652174,153000,199417950000.0,1.97,2019-08-08,561580078.3199999,91.27,19637000000.0,194134950000,13.476042,-0.05225,-0.08983,-0.049508,2019-08-08,2019-10-25,69.68906249999999,45.698437500000004,39.7,-0.14,572.6694690265487,1.92,0.10336507559801042,101127000000.0,660960.78,179.71,562710000,8564000000.0,101127000000.0,7.53,8.69,-0.043394,446.01,292.47,-0.043394,0.997635,1.850786,0.06544
0,8911000000,2541376.8,2258486.3,0.900640448055347,"Honeywell International, Inc.",6458000000.0,156.17,0.004629,172.29,0.000173,0.89,0.01846091814987616,114000,130217783880.0,3.11,2019-05-23,716906259.072,21.41,15414000000.0,124913783880,6.856623,-0.001323,0.006143,0.235834,,2019-10-21,22.420854271356788,15.512562814070353,18.16,-19.32,6.870945207920792,2.99,0.16179952644041043,41811000000.0,366763.16,58.11,719508000,10910000000.0,41811000000.0,3.205,9.56,0.089557,178.47,123.48,0.089557,0.316327,0.857619,0.316923
0,9497000000,3574002.9,3465531.67,1.026516738280888,United Technologies Corp.,4345000000.0,126.34,0.082442,130.58,0.020158,1.18,0.021418565214185652,240000,156420940780.0,2.35,2019-08-15,861006975.266,16.91,16647000000.0,117025768530,3.762228,0.05164,-0.045666,0.178571,2019-08-15,2019-10-22,18.072590738423028,12.575719649561952,21.9,1.88,3.0438997172657754,1.76,0.0792509588629014,66485000000.0,277020.83,77.05,862906000,6152000000.0,66485000000.0,2.905,6.1935,0.008177,144.4,100.48,0.008177,0.157912,0.199213,0.252355
0,8598000000,1439808.9,1161603.47,0.8064926586495772,Lockheed Martin Corp.,1500000000.0,314.65,0.055178,355.23,0.033079,10.12,0.023277215395441996,105000,117666765080.0,2.19,2019-08-30,281806376.19,17.53,8737000000.00001,104334765080,6.04554,0.028879,0.12438,0.283427,2019-08-30,2019-10-23,18.428923988153997,11.903751233958538,17.87,0.76,74.84559905308465,1.94,0.09385811539749264,53762000000.00001,512019.05,190.38,282398000,772000000.0,53762000000.00001,8.6,20.6709,0.139992,373.37,241.17,0.139992,0.232,1.04458,0.395611
0,4781500000,2770156.5,2417300.7,0.9118477536463073,Danaher Corp.,51800000.0,119.9,0.018979,138.72,0.00466,0.35,0.0046387405116671354,71000,111019619040.0,5.58,2019-06-27,636384326.48,29.64,11123900000.0,102067119040,7.012577,0.002113,0.08346,0.341884,,2019-10-21,31.35775862068965,20.385775862068964,41.12,11.82,3.6175541227174777,5.13,0.13325792992509927,19893000000.0,280183.1,27.73,717368000,787800000.0,19893000000.0,0.66,3.46,0.38472,145.5,94.59,0.38472,0.604389,0.837522,0.415721
0,9262000000,3291383.5,2879095.57,1.0530826531827697,3M Co.,1211000000.0,191.98,0.043734,169.86,-0.003779,1.5,0.03218760777100816,93516,111551040420.0,3.4,2019-05-23,574365456.948,18.55,16190000000.0,100087040420,1.797921,0.014461,-0.085327,-0.099482,,2019-10-25,23.57832618025751,17.094420600858367,20.6,-1.37,10.217133566761943,3.05,0.16325347169235466,32765000000.0,350367.85,56.95,575279000,3233000000.0,32765000000.0,5.6,8.4457,-0.161219,219.75,159.32,-0.161219,-0.07858,0.296868,-0.088871
0,19731000000,45078930.6,43286061.43,1.07721246519254,General Electric Co.,12849000000.0,9.63,0.02737,10.14,0.029383,3.55,0.024738344433872503,283000,166593713100.0,1.37,2019-06-28,8660680015.050001,17.81,34478000000.0,91655713100,-0.600842,0.010577,0.080164,0.176932,,2019-07-31,22.203388191922347,10.731100533976985,-4.43,0.49,2.958449149478713,0.75,-0.18390001233400485,121615000000.0,429734.98,13.95,8720810000,35020000000.0,121615000000.0,0.26,-2.3701,-0.195253,13.78,6.66,-0.195253,-0.641211,-0.60686,0.30559
0,11434000000,4980577.8,4257359.33,1.478573790018717,"Caterpillar, Inc.",11553000000.0,131.36,0.044722,130.11,-0.017155,2.6,0.025880228708997897,104000,104676757920.0,1.91,2019-07-19,570765416.8080001,11.16,16347000000.0,76013757920,4.508963,-0.019041,-0.043879,0.068746,,2019-10-23,14.254919499105547,10.023255813953488,12.24,-2.6,5.414470968017665,1.39,0.1123314206352107,54722000000.0,526173.08,95.69,571876000,7890000000.0,54722000000.0,3.44,10.86,-0.067621,159.37,112.06,-0.067621,0.376271,0.307207,0.051749
0,4580000000,1020990.3,762312.9,0.83536999869188,Northrop Grumman Corp.,517000000.0,285.73,0.139256,318.63,0.090718,1.76,0.0139566549415636,85000,72466678960.0,2.41,2019-05-31,168605468.604,18.01,6791000000.0,59645678960,5.677515,0.107578,0.232587,0.285162,,2019-10-24,16.626215840666976,10.35803612783696,17.16,0.6,7.285413333333333,1.98,0.107293570360525,30095000000.0,354058.82,177.87,169198000,1579000000.0,30095000000.0,4.92,20.5442,0.168639,358.96,223.63,0.168639,0.169383,1.409362,0.430856
